Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
中国,10/10/2020,73.4,48.2,60.3,46.4,,0,,11.2,,2.4,0,75.82,Clear
中国,10/11/2020,68,51.8,59.4,,,0,,17.9,,5.2,0,56.79,Clear
中国,10/12/2020,66.2,39.2,52.3,36,,0,,13.4,,6.2,0,45.99,Clear
中国,10/13/2020,71.6,37.4,55.6,36,,0,,15.7,29.1,6.2,0,45.02,Clear
中国,10/14/2020,59,39.2,50.4,42.3,,0,,8.9,,6.2,0,37.5,Clear
中国,10/15/2020,66.2,35.6,51,32.2,,0,,11.2,,5.6,0,67.62,Clear
中国,10/16/2020,68,44.6,59.5,,,0,,17.9,24.6,6.2,0,33.6,Clear
中国,10/17/2020,73.4,33.8,52.5,,,0,,13.4,,6.2,0,54.32,Clear
中国,10/18/2020,71.6,37.4,52.9,36,,0,,8.9,,6.2,0,58.25,Clear
中国,10/19/2020,73.4,39.2,54,36,,0,,8.9,,5.9,0,59.87,Clear
中国,10/20/2020,62.6,41,51.6,42.3,,0,,8.9,8.9,3.5,0,78.79,Clear
中国,10/21/2020,62.6,37.4,53.2,44,,0,,22.4,,6,0,34.08,Clear
中国,10/22/2020,62.6,33.8,49.8,27.9,,0,,22.4,35.8,6.2,0,34.2,Clear
中国,10/23/2020,64.4,33.8,49.5,29.7,,0,,11.2,24.6,6.2,0,36.79,Clear
中国,10/24/2020,68,32,49.8,29.7,,0,,8.9,,6.2,0,52.99,Clear
中国,10/25/2020,66.2,39.2,51,40.2,,0,,4.5,,5.5,0,64.88,Clear
中国,10/26/2020,75.2,42.8,57.9,38.7,,0,,17.9,24.6,4.2,0,53.05,Clear
中国,10/27/2020,62.6,35.6,51.9,31.8,,0,,13.4,,6.2,0,29.39,Clear
中国,10/28/2020,69.8,33.8,49.4,26.5,,0,,8.9,,6.2,0,44.29,Clear
中国,10/29/2020,64.4,35.6,46.2,31.8,,0,,4.5,,6.2,0,61.52,Clear
中国,10/30/2020,64.4,33.8,48.1,29.7,,0,,8.9,,6.2,0,61.63,Clear
中国,10/31/2020,66.2,41,54.4,38.1,,0,,17.9,,5.4,0,46.92,Clear
中国,11/01/2020,64.4,39.2,53.4,42.3,,0,,24.6,33.6,6.2,0,27.91,Clear
中国,11/02/2020,55.4,30.2,49.3,41.2,,0,,20.1,,6.2,0,20.91,Clear
中国,11/03/2020,57.2,26.6,39.9,21.3,,0,,11.2,22.4,6.2,0,44.12,Clear
中国,11/04/2020,57.2,24.8,39.6,29.7,,0,,6.7,,6.2,0,58.82,Clear
中国,11/05/2020,60.8,32,45,27.6,,0,,6.7,,5,0,62.42,Clear
中国,11/06/2020,66.2,35.6,49.7,31.8,,0,,20.1,26.8,4.9,0,50.42,Clear
中国,11/07/2020,64.4,39.2,54.3,40.8,,0,,29.1,42.5,6.2,0,23.77,Clear
中国,11/08/2020,59,39.2,50.8,35.3,,0,,20.1,,6.2,0,20.82,Clear
中国,11/09/2020,60.8,30.2,44.4,26.5,,0,,8.9,,6.2,0,41.79,Clear
中国,11/10/2020,62.6,32,45.3,25.7,,0,,6.7,,6.2,0,47.95,Clear
中国,11/11/2020,57.2,32,42.9,48.5,,0,,6.7,,5.3,0,66.91,Clear
中国,11/12/2020,69.9,39.2,50.4,34.3,,0,,11.2,22.4,4.7,0,52.27,Clear
中国,11/13/2020,60.8,39.2,48.4,33.1,,0,,8.9,,6.2,0,41.31,Clear
中国,11/14/2020,53.6,37.4,45.9,33.9,,0,,4.5,,6.2,0,69.92,Clear
中国,11/15/2020,55.4,37.4,43.8,33.9,,0,,6.7,,4.8,0,76.34,Clear
中国,11/16/2020,55.4,33.8,46.4,33.9,,0,,6.7,,3.1,10,70.41,Clear
中国,11/17/2020,51.8,46.4,49.8,42,,0,,8.9,,2.4,100,81.45,Overcast
中国,11/18/2020,51.8,42.8,48.6,35.9,,0,,13.4,22.4,3.5,83.3,88.7,Overcast
中国,11/19/2020,46.4,37.4,41.9,30.6,,0,,15.7,24.6,6.2,17.1,57.7,Clear
中国,11/20/2020,48.2,28.4,37.3,21.4,,0,,15.7,,6.2,0,48.03,Clear
中国,11/21/2020,37.4,32,34.8,29.7,,0,,6.7,,5.2,31.5,80.65,Partially cloudy
中国,11/22/2020,39.2,28.4,33.4,19,,0,,20.1,,6.2,3.7,39.03,Clear
中国,11/23/2020,44.6,26.6,33.9,17.7,,0,,13.4,,6.2,0,35.49,Clear
中国,11/24/2020,46.4,26.6,33.9,23.4,,0,,6.7,,6.2,0,51.66,Clear
中国,11/25/2020,44.6,24.8,35.2,17,,0,,13.4,,6.2,0,48.61,Clear
中国,11/26/2020,41,23,32.2,19.2,,0,,6.7,,6.2,0,57.48,Clear
中国,11/27/2020,42.8,24.8,33.8,17,,0,,17.9,,6.2,0,43.22,Clear
中国,11/28/2020,37.4,19.4,28.6,15.4,,0,,11.2,,6.2,0,42.84,Clear
中国,11/29/2020,42.8,19.4,30.9,12.7,,0,,17.9,24.6,6.2,0,45.96,Clear
中国,11/30/2020,39.2,23,29.2,13.2,,0,,11.2,,6.2,0,42.01,Clear
中国,12/01/2020,39.2,19.4,28.2,10.6,,0,,8.9,15.7,6.2,0,52.71,Clear
中国,12/02/2020,35.6,23,30,17,,0,,17.9,,6.2,0,45.37,Clear
中国,12/03/2020,39.2,17.6,30.1,8.4,,0,,15.7,26.8,6.2,0,35.35,Clear
中国,12/04/2020,37.3,26.5,31.8,14.3,,0,,17.9,29.1,6.2,0,29.53,Clear
中国,12/05/2020,40.9,15.7,27.9,6.1,,0,,6.7,,6.2,,43.34,Clear
中国,12/06/2020,42.7,21.1,31.7,16.9,,0,,20.1,26.8,6.2,,43.08,Clear
中国,12/07/2020,33.7,17.5,27.3,5,,0,,22.4,26.8,6.2,,28.65,Clear
中国,12/08/2020,35.5,10.3,25.3,4.4,,0,,8.9,,6.2,,38.25,Clear
